Accession,Organism_Name,Release_Date,Species,Length,Geo_Location,Host,Collection_Date
MH507682.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Escondido,California",Culicidae,2015-09-29
MH507700.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Escondido,California",Corvus brachyrhynchos,2016-01-27
MH507985.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Escondido,California",Corvus brachyrhynchos,2016-03-17
KX547336.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Essex Co., NY",Corvus brachyrhynchos,2002-09-09
KC711059.1,West Nile virus,2013-09-23,Orthoflavivirus nilense,11029,"USA: Fairview, Collin Co., Texas",Culex restuans,2012-10-09
MH507644.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fallbrook,California",Accipiter striatus,2008-12-01
OQ721132.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Fillmore, Minnesota",Corvus,2002-08-08
OQ721163.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Fillmore, Minnesota",,2004-06-28
MH507781.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Finley,California",Culex stigmatosoma,2013-08-21
MH507806.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Firebaugh,California",Culex quinquefasciatus,2015-07-14
DQ431697.1,West Nile virus,2007-03-31,Orthoflavivirus nilense,10520,USA: Florida,Homo sapiens,2003
DQ431698.1,West Nile virus,2007-03-31,Orthoflavivirus nilense,10520,USA: Florida,Homo sapiens,2003
DQ431699.1,West Nile virus,2007-03-31,Orthoflavivirus nilense,10520,USA: Florida,Homo sapiens,2003
DQ080072.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11000,USA: Florida,Dumetella,
DQ983578.1,West Nile virus,2007-09-01,Orthoflavivirus nilense,10988,"USA: Florida, Indian River County",Culex nigripalpus,
MH507746.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fontana,California",Aphelocoma californica,2017-06-30
MF175832.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11032,USA: Fort Bend Co. TX,Culex quinquefasciatus,2014-07-22
MF175845.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11032,USA: Fort Bend Co. TX,Culex quinquefasciatus,2014-09-16
MF175846.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11032,USA: Fort Bend Co. TX,Culex quinquefasciatus,2014-10-16
MF175847.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11031,USA: Fort Bend Co. TX,Culex quinquefasciatus,2015-07-28
MF175851.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11030,USA: Fort Bend Co. TX,Culex quinquefasciatus,2015-08-01
MF175857.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11031,USA: Fort Bend Co. TX,Culex quinquefasciatus,2015-08-11
MF175859.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11032,USA: Fort Bend Co. TX,Culex quinquefasciatus,2015-08-05
MF175867.1,West Nile virus,2018-12-31,Orthoflavivirus nilense,11031,USA: Fort Bend Co. TX,Culex quinquefasciatus,2015-07-21
KR868734.1,West Nile virus,2015-10-31,Orthoflavivirus nilense,11029,"USA: Fort Collins, CO",Culex tarsalis,2012-08-22
OQ721359.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Franklin, Ohio",,2018-07-17
OQ721466.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Franklin, Ohio",,2018-07-17
OQ721638.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Franklin, Ohio",,2018-07-18
OQ721726.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Franklin, Ohio",,2018-07-18
OQ721526.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Franklin, Washington",,2015-01-01
OQ721350.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Fremont, Iowa",Culex pipiens,2016-08-08
MH507808.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fremont,California",Culex tarsalis,2015-07-22
MH507708.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Aphelocoma californica,2007-06-24
MH507721.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Aphelocoma californica,2010-08-02
MH507792.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Culex quinquefasciatus,2014-06-20
MH507813.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Culex quinquefasciatus,2016-06-29
MH507815.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Culex quinquefasciatus,2016-07-01
MH507816.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Fresno,California",Culex quinquefasciatus,2016-07-01
KX547207.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Fulton Co., NY",Corvus brachyrhynchos,2002-08-14
KM012180.1,West Nile virus,2016-05-25,Orthoflavivirus nilense,11029,USA: GA,Homo sapiens,2012
DQ164196.1,West Nile virus,2005-10-08,Orthoflavivirus nilense,11029,USA: GA,Homo sapiens,2002
DQ164197.1,West Nile virus,2005-10-08,Orthoflavivirus nilense,11029,USA: GA,Homo sapiens,2002
MH170259.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11011,"USA: GA, Atlanta, Fulton County",Culex quinquefasciatus,2009
MH170260.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11012,"USA: GA, Atlanta, Fulton County",Culex quinquefasciatus,2009
MH170266.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11004,"USA: GA, Atlanta, Fulton County",Culex quinquefasciatus,2007
MH170265.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11006,"USA: GA, Chattron County",Culex quinquefasciatus,2004
MH170261.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11015,"USA: GA, Decatur, Dekalb County",Culex quinquefasciatus,2008
MH170271.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11011,"USA: GA, Decatur, Dekalb County",Culex,2008
MH170269.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11011,"USA: GA, Dekalb County",Cyanocitta cristata,2005
MH170275.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11021,"USA: GA, Dekalb County County",Corvus brachyrhynchos,2002
MH170276.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11019,"USA: GA, Dekalb County County",Corvus brachyrhynchos,2001
MH170274.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11018,"USA: GA, Fulton County",Cyanocitta cristata,2002
MH170258.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11010,"USA: GA, Garden City, Chatham",Culex quinquefasciatus,2007
MH170272.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11005,"USA: GA, Garden City, Chatham",Culex,2007
MH170270.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11001,"USA: GA, Henry County",Corvus brachyrhynchos,2004
MH170257.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11017,"USA: GA, Lawnder County",Culex nigripalpus,2005
MH170273.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11014,"USA: GA, Lowndes County",Corvus brachyrhynchos,2001
MH170264.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11009,"USA: GA, Muscogee County",Baeolophus bicolor,2002
MH170267.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11012,"USA: GA, Norcross, Gwinnett",Cyanocitta cristata,2007
MH170268.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11014,"USA: GA, Savannah, Chatham",Cyanocitta cristata,2007
MH170262.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11015,"USA: GA, Valdasta, Lowndes",Culex quinquefasciatus,2009
MH170263.1,West Nile virus,2018-11-19,Orthoflavivirus nilense,11014,"USA: GA, Wane County",Cyanocitta cristata,2001
KX547237.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10788,"USA: Genesee Co., NY",Corvus brachyrhynchos,2004-08-12
KX547390.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10788,"USA: Genesee Co., NY",Cyanocitta cristata,2004-08-29
KX547484.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Genesee Co., NY",Corvus ossifragus,2002-10-01
KF704153.1,West Nile virus,2014-02-11,Orthoflavivirus nilense,11017,"USA: Gilbert, Maricopa Co., AZ",Culex quinquefasciatus,2010-08-06
KF704158.1,West Nile virus,2014-02-11,Orthoflavivirus nilense,11024,"USA: Gilbert, Maricopa Co., AZ",Culex quinquefasciatus,2010-08-09
KF704147.1,West Nile virus,2014-02-11,Orthoflavivirus nilense,11008,"USA: Glendale, Maricopa Co., AZ",Culex quinquefasciatus,2010-08-01
MH507807.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Glenn,California",Culex tarsalis,2015-07-21
MH507770.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Granada_Hills,California",Culex quinquefasciatus,2011-08-11
OQ721124.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",,2016-01-01
OQ721125.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",,2015-01-01
OQ721199.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",,2017-01-01
OQ721349.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",,2015-01-01
OQ721436.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",Corvidae,2015-01-01
OQ721839.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Grant, Washington",,2016-01-01
MH507900.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2004-08-12
MH507940.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2007-08-15
MH507945.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2009-06-17
MH507946.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2009-06-17
MH507995.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2009-07-29
MH508031.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Greenacres,California",Culex quinquefasciatus,2012-07-19
KX547166.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Greene Co., NY",Equus caballus,2003-10-28
KX547172.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Greene Co., NY",Corvus ossifragus,2009-09-02
MH507706.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Gridley,California",Aphelocoma californica,2007-06-21
DQ176637.1,West Nile virus,2006-09-01,Orthoflavivirus nilense,10678,"USA: Hall County, Texas",Quiscalus quiscula,
OQ721646.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hamilton, Ohio",,2018-07-20
MH507716.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Hanford,California",Aphelocoma californica,2009-06-23
MH507762.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Hanford,California",Culex quinquefasciatus,2007-07-20
MH507769.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Hanford,California",Culex tarsalis,2010-08-12
MH507774.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Harmony,California",Culex tarsalis,2012-08-28
KC333374.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,11028,"USA: Harris Co., Texas",Passer domesticus,2011-08-26
KC333375.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10932,"USA: Harris Co., Texas",Passer domesticus,2012-08-04
KC333384.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10991,"USA: Harris Co., Texas",Lanius ludovicianus,2012-07-11
KC333385.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10982,"USA: Harris Co., Texas",Cyanocitta cristata,2012-07-11
KC333386.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10979,"USA: Harris Co., Texas",Cyanocitta cristata,2012-07-18
KC333387.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,11020,"USA: Harris Co., Texas",Passer domesticus,2012-07-18
OQ721249.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2005-08-01
OQ721302.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",Corvus,2002-08-07
OQ721421.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",Corvus,2002-08-07
OQ721481.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2004-06-25
OQ721584.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2004-06-28
OQ721609.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2004-07-14
OQ721615.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2005-08-02
OQ721636.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",Corvus,2002-08-08
OQ721637.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2005-08-22
OQ721689.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",Corvus,2002-08-07
OQ721736.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",Corvus,2002-08-07
OQ721848.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hennepin, Minnesota",,2004-07-03
KX547499.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Herkimer Co., NY",Corvus brachyrhynchos,2004-07-14
KX547577.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Herkimer Co., NY",Corvus brachyrhynchos,2004-07-14
OQ721121.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Culex restuans,2015-09-09
OQ721138.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Aedes cinereus,2018-08-13
OQ721230.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2018-08-07
OQ721284.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Culex pipiens,2018-08-30
OQ721306.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Culex pipiens,2018-08-16
OQ721375.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Coquillettidia perturbans,2018-08-13
OQ721389.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2018-07-16
OQ721405.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Culex pipiens,2018-08-30
OQ721434.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2017-08-01
OQ721441.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2018-08-20
OQ721465.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Psorophora ferox,2018-08-22
OQ721489.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2018-08-14
OQ721537.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2017-07-31
OQ721657.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Ochlerotatus canadensis,2018-08-22
OQ721663.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",Culex pipiens,2017-08-10
OQ721818.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Hillsborough, New Hampshire",,2018-08-13
KJ786935.1,West Nile virus,2014-11-24,Orthoflavivirus nilense,11028,"USA: Houston, Harris Co., TX",Mimus polyglottos,2012-08-22
KC333379.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10985,"USA: Houston, Harris Co., Texas",Cyanocitta cristata,2012-06-28
KC333381.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10999,"USA: Houston, Harris Co., Texas",Cyanocitta cristata,2012-07-04
KC333382.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10967,"USA: Houston, Harris Co., Texas",Cyanocitta cristata,2012-07-06
KC333383.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,11002,"USA: Houston, Harris Co., Texas",Cyanocitta cristata,2012-07-06
JF957161.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2006
JF957162.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2006
JF957163.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2006
JF957164.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11029,USA: ID,,2006
JF957165.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2006
JF957168.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2007
JF957171.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2007
JF957172.1,West Nile virus,2013-05-13,Orthoflavivirus nilense,11016,USA: ID,,2007
KM012188.1,West Nile virus,2016-05-25,Orthoflavivirus nilense,11029,USA: IL,Homo sapiens,2012
DQ164200.1,West Nile virus,2005-10-08,Orthoflavivirus nilense,11029,USA: IN,Homo sapiens,2002
JN183891.1,West Nile virus,2011-10-11,Orthoflavivirus nilense,10520,USA: Illinois,Cyanocitta cristata,2002
JN183892.1,West Nile virus,2011-10-11,Orthoflavivirus nilense,10622,USA: Illinois,Culex pipiens,2005
HQ671742.1,West Nile virus,2011-05-18,Orthoflavivirus nilense,10622,USA: Illinois,Cyanocitta cristata,2002
HQ671743.1,West Nile virus,2011-03-12,Orthoflavivirus nilense,10355,USA: Illinois,Corvus brachyrhynchos,2003
HQ671744.1,West Nile virus,2011-03-12,Orthoflavivirus nilense,10217,USA: Illinois,Corvus brachyrhynchos,2005
HQ671745.1,West Nile virus,2011-03-12,Orthoflavivirus nilense,10051,USA: Illinois,Culex pipiens,2006
HQ705669.1,West Nile virus,2011-01-10,Orthoflavivirus nilense,10451,USA: Illinois,Cyanocitta cristata,2002
HM488177.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Corvus brachyrhynchos,2002
HM488178.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10614,USA: Illinois,Corvus brachyrhynchos,2002
HM488179.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10452,USA: Illinois,Corvus brachyrhynchos,2002
HM488180.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10541,USA: Illinois,Corvus brachyrhynchos,2002
HM488181.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10433,USA: Illinois,Corvus brachyrhynchos,2002
HM488182.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10474,USA: Illinois,Corvus brachyrhynchos,2002
HM488183.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Cyanocitta cristata,2002
HM488184.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Cyanocitta cristata,2002
HM488185.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Cyanocitta cristata,2003
HM488186.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10440,USA: Illinois,Corvus brachyrhynchos,2003
HM488187.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10442,USA: Illinois,Corvus brachyrhynchos,2003
HM488188.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Corvus brachyrhynchos,2004
HM488189.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10508,USA: Illinois,Cyanocitta cristata,2004
HM488190.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10402,USA: Illinois,Corvus brachyrhynchos,2004
HM488191.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Corvus brachyrhynchos,2004
HM488192.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10610,USA: Illinois,Corvus brachyrhynchos,2005
HM488193.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10409,USA: Illinois,Corvus brachyrhynchos,2005
HM488194.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10663,USA: Illinois,Corvus brachyrhynchos,2005
HM488195.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10488,USA: Illinois,Cyanocitta cristata,2005
HM488196.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10437,USA: Illinois,Corvus brachyrhynchos,2005
HM488197.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10620,USA: Illinois,Corvus brachyrhynchos,2005
HM488198.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10617,USA: Illinois,Culex pipiens,2005
HM488253.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10636,USA: Illinois,Culex,2006
HM488254.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10621,USA: Illinois,Culex,2007
HM538582.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10313,USA: Illinois,Corvus brachyrhynchos,2004
HM538583.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10292,USA: Illinois,Buteo jamaicensis,2004
HM756676.1,West Nile virus,2010-07-28,Orthoflavivirus nilense,10478,USA: Illinois,Cyanocitta cristata,2003
DQ431695.1,West Nile virus,2007-03-31,Orthoflavivirus nilense,10520,USA: Illinois,Homo sapiens,2003
KY782105.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Turdus migratorius,2012-07-18
KY782106.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Spinus tristis,2012-07-25
KY782107.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Poecile atricapillus,2012-08-01
KY782108.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Turdus migratorius,2010-08-24
KY782109.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Turdus migratorius,2005-08-03
KY782110.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Passer domesticus,2005-08-03
KY782111.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2005-09-14
KY782112.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2005-09-15
KY782113.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10972,"USA: Illinois, West Chicago suburbs",Culex,2007-07-07
KY782114.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2009-08-12
KY782115.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-08-04
KY782116.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-08-12
KY782117.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-08-18
KY782118.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-08-20
KY782119.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-08-25
KY782120.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-09-01
KY782121.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-09-01
KY782122.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-09-03
KY782123.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2010-09-24
KY782124.1,West Nile virus,2019-02-17,Orthoflavivirus nilense,10986,"USA: Illinois, West Chicago suburbs",Culex,2012-08-31
MH507688.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Imperial_Beach,California",Corvus brachyrhynchos,2017-10-19
OQ721789.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Jackson, Oregon",,2016-01-01
KX547275.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Jefferson Co., NY",Cyanocitta cristata,2004-09-03
KX547371.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Jefferson Co., NY",Corvus brachyrhynchos,2007-09-20
KX547462.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Jefferson Co., NY",Corvus brachyrhynchos,2004-06-29
KX547553.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Jefferson Co., NY",Cyanocitta cristata,2006-09-16
KX547620.1,West Nile virus,2016-08-02,Orthoflavivirus nilense,10787,"USA: Jefferson Co., NY",Corvus brachyrhynchos,2002-08-29
OQ721662.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Josephine, Oregon",Corvus,2016-01-01
OQ721551.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Kandiyohi, Minnesota",,2005-07-21
OQ721731.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Kandiyohi, Minnesota",,2005-07-21
KJ786936.1,West Nile virus,2014-11-24,Orthoflavivirus nilense,10981,"USA: Kathy, Harris Co., TX",Cyanocitta cristata,2012-08-17
KC333376.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,11009,"USA: Katy, Harris Co., Texas",Cyanocitta cristata,2012-06-14
KC333377.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10985,"USA: Katy, Harris Co., Texas",Cyanocitta cristata,2012-06-14
KC333380.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,10989,"USA: Katy, Harris Co., Texas",Cyanocitta cristata,2012-06-29
MH507818.1,West Nile virus,2019-01-20,Orthoflavivirus nilense,10302,"USA: Kerman,California",Culex tarsalis,2017-07-06
OQ721123.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Kern, California",,2005-06-24
OQ721187.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Kern, California",Corvus brachyrhynchos,2012-07-31
OQ721319.1,West Nile virus,2023-08-02,Orthoflavivirus nilense,10302,"USA: Kern, California",Euphagus cyanocephalus,2004-09-08
